Hole_id,DHQ34,,,Date Start  02/05/2019,,,,Date Finish 03/05/2019,,,
,,,,,,,,,,,
Hole_id,From,To,Wthr,Rock 1,Rock 2,Grain_size,Colour,CaCO3 %,Acid,Clay Type,Remarks
DHQ34,0,6,,CO,,,,,,,surficial colluvium; sand w/ grainte & basalt boulders
DHQ34,6,6.64,w,CY,,fm,bn,5,1,s,
DHQ34,6.64,11.22,w,CY,,,gnbn,10-15,2,p,
DHQ34,11.22,12.72,w,CY,,,bn,5,1,p,
DHQ34,12.72,14.92,w,CY,,,gnbn,5-10,1,p,
DHQ34,14.92,24.99,w,CY,,,gn,5-10,1,p,
DHQ34,24.99,28.04,w,CY,,,,,,,Lost core; No recovery
DHQ34,28.04,31.41,w,CY,,f,bngy,10-20,2,p-s,
DHQ34,31.41,39.87,w,CY,,,bngy-bn,30-40,2,p,
DHQ34,39.87,42.27,sox,CC/LS,TUFA,,wh-whbn,90,3,,
DHQ34,42.27,43.47,sox,CY/T,TUFA,fm,whgn,60,2,s,banded gn & wh tufa grading into banded gn & wh sandy CY tuff; marker bed
DHQ34,43.47,44.67,w,CY,,,gybn,20-30,2,p-s,
DHQ34,44.67,45.55,sox,CC/LS,CY,,bnwh,60-70,3,,
DHQ34,45.55,48.21,w,CY,,,bn,5,1,p-s,
DHQ34,48.21,52.25,w,CY,,,bngy,40-50,2,p,
DHQ34,52.25,52.74,sox,CY/T,,,whgy,5,1,p-s,
DHQ34,52.74,57.83,w,CY,CC/LS,,bngy,50,2,p-s,
DHQ34,57.83,58.84,sox,CC/LS,CY,,whgy,80,3,p,
DHQ34,58.84,68.26,w/sox,CY,CC/LS,,bngy-wh,50-60,2,p,
DHQ34,68.26,72.56,sox,CC/LS,,,bnwh,80-90,3,,
DHQ34,72.56,82.31,w/sox,CY,,fm,gngy-gnbn,15,2,p-s,
DHQ34,82.31,89,sox,CY/T,CC/LS,fm,bn-bnwh,40-50,2,s,
