Hole_id,DHQ35,,,Date Start  04/05/2019,,,,Date Finish 05/05/2019,,,
,,,,,,,,,,,
Hole_id,From,To,Wthr,Rock 1,Rock 2,Grain_size,Colour,CaCO3 %,Acid,Clay Type,Remarks
DHQ35,0,6,,CO,,,,,,,surficial colluvium
DHQ35,6,12.69,w,CY,,fm,gn,20,2,p-s,
DHQ35,12.69,16.43,w,CY,,fm,bn,5-10,1,p-s,
DHQ35,16.43,17.14,sox,CY,CC/LS,,gywh,70-80,3,p,
DHQ35,17.14,17.63,w,SS,,,gywh,10-15,3,,
DHQ35,17.63,19.91,w,CY,,f,gnbn,5-10,2,s,
DHQ35,19.91,22.46,w,CY,SLT,vf,gn,5,2,c,
DHQ35,22.46,23.71,w,CY,SLT,vf-f,bn,10-15,2,c,
DHQ35,23.71,30.89,w,CY,CC/LS,,gybnwh,50-60,3,p-s,
DHQ35,30.89,32,sox,TUFA,CY,,bnwh,80-90,3,,
DHQ35,32,38.56,w,CY,CC/LS,,gybnwh,60-70,3,p-s,
DHQ35,38.56,39.57,w/sox,CY/T,TUFA,,gnwh,20-30,2,s,banded gn & wh tufa w/ vugs grading into banded gn & wh sandy CY tuff w/ Bn sandy CY IB towards btm; marker bed
DHQ35,39.57,41,w,CY,TUFA,,bnwh,50-60,3,s,
DHQ35,41,43.98,w,CY,,vf,bn,5-10,2,s-p,
DHQ35,43.98,50.52,w,CY,CC/LS,vf,bngywh,50-60,2,p-s,
DHQ35,50.52,53.78,sox,TUFA,CY,,bnwh,80-90,3,,
DHQ35,53.78,55.18,w,CY,,vf-f,bngywh,10-20,2,p-s,
DHQ35,55.18,57.32,sox,CC/LS,CY,,wh,80-90,3,p,
DHQ35,57.32,69.3,w,CY,CC/LS,vf-f,bngn-gngy,50-60,2,p-s,
DHQ35,69.3,71.4,sox,CC/LS,CY,,wh-gywh,80-90,3,p,
DHQ35,71.4,75.24,w,CY,,fm,gngy-gn,5-10,3,s,
DHQ35,75.24,82.91,sox,T/CY,SS,fc,bn-bnrd,20-30,2,s,
