Hole_id,DHQ33,,,Date Start  30/04/2019,,,,Date Finish 02/05/2019,,,
,,,,,,,,,,,
Hole_id,From,To,Wthr,Rock 1,Rock 2,Grain_size,Colour,CaCO3 %,Acid,Clay Type,Remarks
DHQ33,0,13,,CO,,,,,,,surficial colluvium; sand w/ grainte & basalt boulders
DHQ33,13,18.05,w,CY,,,gn,<5,2,p-s,
DHQ33,18.05,21.04,w,CY,,,bn,<5,2,p-s,
DHQ33,21.04,23.06,w,CY,,,gnbn,<5,2,s,
DHQ33,23.06,32.29,w,CY,,,bn,5-10,1,p-s,
DHQ33,32.29,33.48,w,CY,,,bngn,<5,1,p,
DHQ33,33.48,34.52,w,CY,,,bn,<5,1,,
DHQ33,34.52,37.42,w,CY,SS,fc,gn,5-10,1,s,
DHQ33,37.42,42.44,w,CY,,,gn,5-10,1,p,
DHQ33,42.44,44.86,w,CY,,,bngn,5-10,2,p,
DHQ33,44.86,46.03,w,CY,,,gnblu,<5,2,p,
DHQ33,46.03,48.43,w,CY,,,bn-bnwh,20-30,1,p,
DHQ33,48.43,49.38,w,CY/T,,fm,gnwh,5-10,1,p-s,gn & wh sandy CY tuff; banded; marker bed
DHQ33,49.38,51.09,w,CY,,,bn,<5,3,p,
DHQ33,51.09,52.27,w,CY,,,gywh,30-40,1,p,
DHQ33,52.27,54.24,w,CY,,,bn,10-20,1,s-p,
DHQ33,54.24,58.76,w,CY,,,bngn,10-20,2,p-s,
DHQ33,58.76,65.36,w,CY,,,gygn-gnbn,30-40,2,p,
DHQ33,65.36,67.67,w,CY,CC/LS,,gygnwh,50-60,2,p,
DHQ33,67.67,69.06,w,CY,,,bngn-gn,5-10,2,p,
DHQ33,69.06,70.56,w,CY,CC/LS,,bngy-bnwh,50-60,3,p-s,
DHQ33,70.56,74.36,w,CY,CC/LS,,bnwh,50-60,3,s-p,
DHQ33,74.36,77.61,sox,CC/LS,CY,,whbn,60-70,3,s,
DHQ33,77.61,80.37,sox,CC/LS,,,wh,80-90,3,p,
DHQ33,80.37,87.45,w,CY,CC/LS,,bn-gnbn,30-40,3,p-s,
DHQ33,87.45,94.61,sox,CC/LS,CY,fm,bnwh,60-70,3,s,
DHQ33,94.61,98.15,sox,CY/T,CC/LS,fm,bnwh,20-30,2,s,
