Hole_id,DHQ18,,,Date Start  14/06/2019,,,,Date Finish 16/06/2019,,,,,
,,,,,,,,,,,,,
Hole_id,From,To,Wthr,Rock 1,Rock 2,Grain_size,Colour,CaCO3 %,Acid,Clay Type,Remarks,,
DHQ18,0.00,9.75,,CO,,,,,,,surficial colluvium,,
DHQ18,9.75,10.47,w,SS,CY,fm,gnbn,20-30,2,s,,,
DHQ18,10.47,21.43,w,CY,CC/LS,f,bnwh,60-70,3,p-s,,,
DHQ18,21.43,24.60,sox,CC/LS,,fm,wh-bnwh,90,3,,,,
DHQ18,24.60,26.10,w,CY,,,bnwh,10-20,2,s-p,,,
DHQ18,26.10,30.40,w,CY,CC/LS,f,bnwh-gywh,50-60,3,p-s,,,
DHQ18,30.40,31.09,w/sox,CY/T,TUFA,fm,bn-wh-gn,60-70,2,s,bn & wh banded tufa grading down into gn & wh banded sandy/ashy CY tuff; marker bed,,
DHQ18,31.09,48.17,sox,CC/LS,CY,fm,bnwh,70-80,3,s,,,
DHQ18,48.17,57.30,w,CY,CC/LS,f,gnwh-gngy,60-70,3,s-p,,,
DHQ18,57.30,60.28,w/sox,TUFF,,fc,bn,10-20,2,,,,
DHQ18,60.28,61.57,fr,B,scoria,fc,rdbn,10,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
