X,Y,Z,LINE,STN_CORR,Elev_trim,Res_trim
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,683.546906951299,16.7830132148604
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,678.545943837661,16.143914419508
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,673.29493256834,13.7492947320484
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,667.781370735554,10.5955276481379
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,661.992130811128,8.30228219450172
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,655.913428890481,7.15571543068
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,649.530791873801,6.95271678960761
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,642.829023006288,7.40643443816936
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,635.792165695398,8.22524012542947
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,628.403465518965,9.1286414383445
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,620.645330333709,9.89079196880058
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,612.499288389191,10.3897977106887
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,603.945944347447,10.6137256195248
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,594.964933103616,10.6197473001899
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,585.534871297593,10.4835737305954
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,575.633306401269,10.2691136599527
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,565.236663260129,10.0211451761371
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,554.320187961932,9.76973207523506
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,542.857888898825,9.53648842205462
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,530.822474882563,9.3386254142669
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,518.185290165487,9.19055229918228
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,504.916246212558,9.1040313443012
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,490.983750061982,9.08778134991904
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,476.354629103878,9.14701149070775
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,460.994052097868,9.28305151916208
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,444.865446241558,9.49310520910002
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,427.930410092433,9.77013921121628
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,410.148622135851,10.1029500471756
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,391.47774478144,10.4764943709374
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,371.873323559308,10.8725665634188
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,351.28868127607,11.2708564629842
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,329.674849300264,11.6503309595697
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,306.984651830723,11.9908140619825
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,283.159944487705,12.274606295861
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,258.144001777536,12.487914775911
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,231.877261931858,12.6219020571498
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,204.297185093897,12.6732574093257
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,175.338104414038,12.6442189856315
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,144.931069700185,12.542039457038
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,113.00368325064,12.3779887800349
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264800.421191022,3843523.88628844,683.546906951299,L2_2,2009.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,683.537182740602,17.9702044000859
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,678.536357136275,17.0531756605301
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,673.285490251731,14.0842426976901
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,667.77208002296,10.5629765626892
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,661.98299928275,8.16288886059238
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,655.90446450553,7.016363929943
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,649.522002989449,6.85404628205866
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,642.820418397564,7.36934077673275
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,635.783754576085,8.26020869922982
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,628.395257563531,9.23117657786872
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,620.637335700351,10.0411397380064
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,612.491517744011,10.5609589992252
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,603.938408889854,10.7815343588408
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,594.957644592989,10.7685545619667
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,585.527842081281,10.6064576638746
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,575.626549443987,10.3652807556353
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,565.230192174829,10.0931348600935
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,554.314017042213,9.82148244134929
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,542.852033152966,9.57225862420789
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,530.816950069257,9.36247055899529
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,518.180112831362,9.20609842446434
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,504.911433731572,9.11440306688856
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,490.979320676794,9.09560413130356
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,476.350601969276,9.15444487012388
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,460.990447326382,9.29182767230776
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,444.862284951343,9.50455876947449
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,427.927714457553,9.78522323668861
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,410.146415439073,10.1222410470551
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,391.476051469669,10.5001946176129
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,371.872169301795,10.9005163477158
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,351.288093025527,11.3025671510764
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,329.674849300264,11.6850398046101
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,306.984651830723,12.0275592165477
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,283.159944487705,12.3123158221989
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,258.144001777536,12.525498712027
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,231.877261931858,12.6583350706452
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,204.297185093897,12.7076449123349
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,175.338104414038,12.675846095378
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,144.931069700185,12.5703998862526
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,113.00368325064,12.4027917664628
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
264805.376525351,3843527.27951043,683.537182740602,L2_2,2015.5,,
