Hole_id,DDH5,,,Date Start  23/07/2018,,,,Date Finish  26/07/2018,,,,,
,,,,,,,,,,,,,
Hole_id,From,To,Wthr,Rock 1,Rock 2,Grain_size,Colour,CaCO3 %,Acid,Clay Type,Remarks,,
DDH5,0.00,0.72,, ,, , ,,,,No core,,
DDH5,0.72,1.30,w,CY,,r,gn,,,,Green Clay,,
DDH5,1.30,4.57,w,CY,,f,bn,,,,Calcareous Clay,,
DDH5,4.57,12.97,w,CO,,,,,,,Colluvium,,
DDH5,12.97,13.72,w,CC,,,bn/gy,,,,Calcrete,,
DDH5,13.72,21.90,w,CC ,CY,,bn/gy,,,,Calcareous Clay,,
DDH5,21.90,35.98,w,LS ,CY,,gy/bn,,,,Limestone + Clay,,
DDH5,35.50,35.98,sox,T,,m,bn,,,,Oxidised Tuff,,
DDH5,35.50,41.76,fr,B,,m,gn/gy,,,,Basalt,,
,EOH,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
