Hole_id,DHQ26,,,Date Start  28/04/2019,,,,Date Finish 30/04/2019,,,,,
,,,,,,,,,,,,,
Hole_id,From,To,Wthr,Rock 1,Rock 2,Grain_size,Colour,CaCO3 %,Acid,Clay Type,Remarks,,
DHQ26,0.00,12.80,,CO,,,,,,,surficial colluvium; sand w/ grainte & basalt boulders,,
DHQ26,12.80,14.15,w,CY,CC,,bnwh-wh,70-80,3,s,,,
DHQ26,14.15,14.59,w,CY,,,bngy,20-30,2,s,,,
DHQ26,14.59,15.06,w,CY/T,,fm,gn,,1,s,gn sandy CY tuff; banded; marker bed,,
DHQ26,15.06,20.16,w,CY,,,bn-bngy,30-40,3,s-p,,,
DHQ26,20.16,21.95,sox,CC/LS,TUFA,,whbn,80-90,3,s,,,
DHQ26,21.95,22.80,w,CY,,,bn,30-40,3,s,,,
DHQ26,22.80,34.14,sox,CC/LS,TUFA,,whbn,70-80,3,s,,,
DHQ26,34.14,34.57,w,CY,,,bn,10-15,1,s,,,
DHQ26,34.57,36.98,sox,CC/LS,TUFA,,whbn,70-80,3,s,,,
DHQ26,36.98,37.19,w,CY,,,bn,5-10,1,s,,,
DHQ26,37.19,39.70,sox,CC/LS,TUFA,,whbn,70-80,3,s,,,
DHQ26,39.70,40.25,w,CY,CC/LS,,bn,20-30,3,s,,,
DHQ26,40.25,46.25,sox,CC/LS,TUFA,,whbn,70-80,3,s,,,
DHQ26,46.25,47.04,sox,T,,fc,bn-tan,20,2,,,,
DHQ26,47.04,49.00,f,B,,,blkrd-blkgn,,2,,,,
DHQ26,49.00,49.38,sox,scoria,,,rdbn-maroon,,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
