Hole_id,DHQ25,,,Date Start  27/04/2019,,,,Date Finish 28/04/2019,,,,,
,,,,,,,,,,,,,
Hole_id,From,To,Wthr,Rock 1,Rock 2,Grain_size,Colour,CaCO3 %,Acid,Clay Type,Remarks,,
DHQ25,0.00,9.70,,CO,,,,,,,surficial colluvium; sand w/ grainte & basalt boulders,,
DHQ25,9.70,10.46,w,CY,,,bn,5-10,1,s,,,
DHQ25,10.46,11.33,w,CY,CC,,gybnwh,60-70,2,p-s,,,
DHQ25,11.33,12.50,w,CY,,,bn-bngy,5-10,1,s,,,
DHQ25,12.50,13.00,w,CC/LS,CY,,bnwh,90,3,,,,
DHQ25,13.00,16.12,w,CY,CC/LS,,bnwh,60-70,2,p-s,,,
DHQ25,16.12,23.48,w,CC/LS,TUFA,,bnwh,90,3,,bright gn sandy CY tuff at 16.77-16.89 and 17.06-17.12; marker bed,,
DHQ25,23.48,24.99,sox,CC/LS,,,wh,100,3,,,,
DHQ25,24.99,27.27,w,CC/LS,CY,,bnwh,50-60,3,p-s,,,
DHQ25,27.27,31.09,sox,CC/LS,,,wh,100,3,,,,
DHQ25,31.09,40.30,w,CC/LS,CY,,bnwh,60-70,3,s,,,
DHQ25,40.30,41.60,w,CY/T,,fm,gn-gnbn,20-30,2,s,,,
DHQ25,41.60,42.00,sox,CC/LS,TUFA,,bnwh,70-80,3,s,,,
DHQ25,42.00,45.24,fr,B,,,blk,,,,,,
DHQ25,45.24,47.47,sox,B,scoria?,,blkrdbn,,,,,,
DHQ25,47.47,49.38,sox,CY,scoria?,,rdbn,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
